Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income,Income_to_Loan_Ratio,EMI,Balance_Income
1,1,1,1,0,-1.0979378981858774,-0.3228713060894268,0.6400665867981946,0.4340131972632579,0.41048424142247086,0,1,-1.1241920931906852,-1.0114963147574594,-0.14781482815964736,-1.0572089211885993
1,0,1,1,0,-0.7483955061268,-0.7322067392656159,-0.8449195742783864,-2.019979776067388,-2.4361471137957738,0,0,-0.9774334158206028,-0.6027850682897785,0.06493373961222497,-0.9645625471871495
0,0,0,1,1,-0.8120237902604854,-0.7322067392656159,3.1662499412732976,0.4340131972632579,0.41048424142247086,0,1,-1.0348688321229984,-1.1116314117161354,0.16880624319900714,-1.0447067766819553
1,1,0,0,0,-0.665554785550151,0.17828190933512278,1.0155803286796288,-1.4064815327347266,-2.4361471137957738,1,0,-0.527274016619359,-0.756998863106882,0.33113541275402286,-0.5897732361117997
1,1,0,1,0,-0.01047267844652556,0.09686712704593603,-0.4694058323969521,0.4340131972632579,-2.4361471137957738,1,0,0.03048354883669751,0.10614755008191631,-0.28687137976986726,0.09688366014964143
0,1,0,1,0,0.22069631488332525,0.22215543090207343,-0.3669929937020155,-3.124276614066179,0.41048424142247086,1,1,0.29080770844106224,0.24395127798826938,6.712692367199475,-1.2917981762764645
1,0,0,1,0,-0.817188423712895,-0.7322067392656159,2.4664288768578975,0.4340131972632579,-2.4361471137957738,2,0,-1.0395307977319592,-1.0873954256254328,0.08109364910640697,-1.028664557066403
1,0,3,0,0,-0.7227789242028487,-0.7322067392656159,-0.452337025947796,0.4340131972632579,0.41048424142247086,0,1,-0.9543100664001578,-0.7183423687414918,-0.2847320482066331,-0.8601010912407768
1,0,0,1,0,0.8807364701012639,-0.7322067392656159,-0.5547498646427327,0.4340131972632579,0.41048424142247086,1,1,0.493137015869956,0.5708560717472494,-0.297568037586038,0.5487454495717087
1,1,0,1,1,1.9549802282024473,0.13440838776817216,1.1691995867220337,0.4340131972632579,0.41048424142247086,1,1,1.8201189068045256,0.29341729664259364,-0.08149554969938859,1.7869067873653175
1,1,1,1,0,1.1395878987360297,1.8115529029254194,-1.13508928391404,0.4340131972632579,0.41048424142247086,2,1,1.7755505155828615,2.984432734508175,-0.3703053107359992,1.8113506648286275
0,1,0,1,0,-1.0332766873617099,0.6902904290648972,-0.2304425421087667,0.4340131972632579,0.41048424142247086,2,1,-0.6481121652036199,-0.547829421797366,-0.25692073788458913,-0.5692279300601103
1,1,0,0,0,1.0365018150259355,1.9232720764000255,-0.07682328406636175,0.4340131972632579,0.41048424142247086,0,1,1.7285579022445379,1.0572195460519973,-0.23766675381548177,1.7346028800270554
0,0,0,0,0,2.2762204289423202,-0.7322067392656159,-0.7254379291342937,0.4340131972632579,0.41048424142247086,2,1,1.7528001234111334,1.9561336850317137,-0.31896135321837954,1.777213222855792
1,1,3,1,1,-1.0467047343379747,-0.11707282863620473,-1.2204333161598206,-0.17948504606940363,0.41048424142247086,2,1,-0.9930976202667108,-0.41550682084503726,-0.3502979408007695,-0.8823972225290599
1,1,0,0,0,0.8794969580726856,3.564684548219241,-0.09389209051551786,-2.878877316733114,0.41048424142247086,1,1,2.263565075528866,1.4489089293824888,2.345431559359809,1.6484472892149356
1,1,1,1,0,-0.07554705994688571,-0.28080700190668034,0.5717913610015701,0.4340131972632579,0.41048424142247086,1,1,-0.18396686917549404,-0.4908298530088633,-0.15637215441258398,-0.14200618722941138
1,1,2,0,0,-0.4759094451776729,-0.2880438714434969,-0.7083691226851375,-0.7929832894020651,0.41048424142247086,2,1,-0.5483461011718613,-0.2507991413807912,-0.20816883354731958,-0.48376310251203736
0,1,0,1,0,-0.17326192486647413,-0.07410391576135616,-1.0156076387699475,-1.4064815327347266,0.41048424142247086,2,1,-0.1869505271652289,0.3840085760735618,-0.1766189774392144,-0.14015583151279143
1,1,1,1,0,0.12298144996373683,3.3774305489541114,1.3398876512135949,0.4340131972632579,0.41048424142247086,0,1,1.503478202643916,0.08399532895756197,-0.0601022340670471,1.474351669565239
1,0,0,0,0,0.9887806019256713,-0.7322067392656159,0.38403449006085305,0.4340131972632579,-2.4361471137957738,0,0,0.5906653364094135,0.013699044547891656,-0.17990480160815964,0.6158759299851485
